CFIPS,YEAR,AGE,COUNTY,MALE,FEMALE,TOTAL
1,2019,0 to 4,Adams,17993,17246,35239
1,2019,5 to 9,Adams,18338,17358,35696
1,2019,10 to 14,Adams,19694,18721,38414
1,2019,15 to 19,Adams,19287,18515,37803
1,2019,20 to 24,Adams,17703,16922,34624
1,2019,25 to 29,Adams,21767,21073,42841
1,2019,30 to 34,Adams,22752,22557,45310
1,2019,35 to 39,Adams,20036,19586,39621
1,2019,40 to 44,Adams,18287,17542,35830
1,2019,45 to 49,Adams,17130,16255,33384
1,2019,50 to 54,Adams,14801,14367,29169
1,2019,55 to 59,Adams,14510,14528,29038
1,2019,60 to 64,Adams,12263,12771,25034
1,2019,65 to 69,Adams,9474,10308,19780
1,2019,70 to 74,Adams,7021,8064,15085
1,2019,75 to 79,Adams,4081,5315,9394
1,2019,80 to 84,Adams,2494,3545,6039
1,2019,85 to 89,Adams,1401,2171,3572
1,2019,90 to 94,Adams,522,1041,1562
1,2019,95 and over,Adams,124,320,446
3,2019,0 to 4,Alamosa,519,497,1015
3,2019,5 to 9,Alamosa,594,590,1184
3,2019,10 to 14,Alamosa,616,625,1241
3,2019,15 to 19,Alamosa,780,668,1448
3,2019,20 to 24,Alamosa,718,805,1521
3,2019,25 to 29,Alamosa,443,396,839
3,2019,30 to 34,Alamosa,576,508,1085
3,2019,35 to 39,Alamosa,502,490,992
3,2019,40 to 44,Alamosa,456,433,889
3,2019,45 to 49,Alamosa,417,402,820
3,2019,50 to 54,Alamosa,400,403,804
3,2019,55 to 59,Alamosa,472,484,955
3,2019,60 to 64,Alamosa,497,521,1019
3,2019,65 to 69,Alamosa,411,439,849
3,2019,70 to 74,Alamosa,290,337,627
3,2019,75 to 79,Alamosa,183,196,380
3,2019,80 to 84,Alamosa,119,145,263
3,2019,85 to 89,Alamosa,60,87,146
3,2019,90 to 94,Alamosa,27,48,75
3,2019,95 and over,Alamosa,8,20,27
5,2019,0 to 4,Arapahoe,20521,19657,40177
5,2019,5 to 9,Arapahoe,21277,20393,41672
5,2019,10 to 14,Arapahoe,22779,21361,44140
5,2019,15 to 19,Arapahoe,21597,20668,42265
5,2019,20 to 24,Arapahoe,21953,20613,42566
5,2019,25 to 29,Arapahoe,26361,25035,51393
5,2019,30 to 34,Arapahoe,25706,26513,52219
5,2019,35 to 39,Arapahoe,23100,24088,47188
5,2019,40 to 44,Arapahoe,21006,21765,42771
5,2019,45 to 49,Arapahoe,21566,21843,43409
5,2019,50 to 54,Arapahoe,19444,20485,39931
5,2019,55 to 59,Arapahoe,20048,21924,41972
5,2019,60 to 64,Arapahoe,18267,20260,38528
5,2019,65 to 69,Arapahoe,14419,16691,31111
5,2019,70 to 74,Arapahoe,10774,12663,23438
5,2019,75 to 79,Arapahoe,6604,8143,14746
5,2019,80 to 84,Arapahoe,4146,5468,9614
5,2019,85 to 89,Arapahoe,2207,3443,5650
