ReportedDate,NumProbable,NumConfirmed,NumProbDead,NumConfDead,TotalCases,TotalDead,CumProbable,CumConfirmed,CumProbDead,CumConfDead,TotalCumCases,TotalCumDead,DailyChangeCases,DailyChangeDead
03/01/2020,0,1,0,0,1,0,0,1,0,0,1,0,,
03/02/2020,0,0,0,0,0,0,0,1,0,0,1,0,0,0
03/03/2020,0,0,0,0,0,0,0,1,0,0,1,0,0,0
03/04/2020,0,0,0,0,0,0,0,1,0,0,1,0,0,0
03/05/2020,0,6,0,0,6,0,0,7,0,0,7,0,6,0
03/06/2020,1,0,0,0,1,0,1,7,0,0,8,0,1,0
03/07/2020,2,0,0,0,2,0,3,7,0,0,10,0,2,0
03/08/2020,1,0,0,0,1,0,4,7,0,0,11,0,1,0
03/09/2020,2,4,0,0,6,0,6,11,0,0,17,0,6,0
03/10/2020,0,6,0,0,6,0,6,17,0,0,23,0,6,0
03/11/2020,1,10,0,0,11,0,7,27,0,0,34,0,11,0
03/12/2020,2,8,0,0,10,0,9,35,0,0,44,0,10,0
03/13/2020,2,25,0,2,27,2,11,60,0,2,71,2,27,2
03/14/2020,4,28,0,1,32,1,15,88,0,3,103,3,32,1
03/15/2020,1,34,0,1,35,1,16,122,0,4,138,4,35,1
03/16/2020,1,33,0,0,34,0,17,155,0,4,172,4,34,0
03/17/2020,4,26,0,0,30,0,21,181,0,4,202,4,30,0
03/18/2020,13,56,0,4,69,4,34,237,0,8,271,8,69,4
03/19/2020,12,71,0,2,83,2,46,308,0,10,354,10,83,2
03/20/2020,16,107,0,2,123,2,62,415,0,12,477,12,123,2
03/21/2020,10,109,0,10,119,10,72,524,0,22,596,22,119,10
03/22/2020,12,112,0,6,124,6,84,636,0,28,720,28,124,6
03/23/2020,26,170,0,9,196,9,110,806,0,37,916,37,196,9
03/24/2020,16,161,1,9,177,10,126,967,1,46,1093,47,177,10
03/25/2020,25,288,0,16,313,16,151,1255,1,62,1406,63,313,16
03/26/2020,23,273,1,21,296,22,174,1528,2,83,1702,85,296,22
03/27/2020,39,290,1,26,329,27,213,1818,3,109,2031,112,329,27
03/28/2020,15,228,0,21,243,21,228,2046,3,130,2274,133,243,21
03/29/2020,25,309,0,18,334,18,253,2355,3,148,2608,151,334,18
03/30/2020,35,294,1,26,329,27,288,2649,4,174,2937,178,329,27
03/31/2020,27,358,2,26,385,28,315,3007,6,200,3322,206,385,28
04/01/2020,39,364,1,31,403,32,354,3371,7,231,3725,238,403,32
04/02/2020,42,408,1,34,450,35,396,3779,8,265,4175,273,450,35
04/03/2020,35,355,0,28,390,28,431,4134,8,293,4565,301,390,28
04/04/2020,37,351,1,28,388,29,468,4485,9,321,4953,330,388,29
04/05/2020,23,202,1,25,225,26,491,4687,10,346,5178,356,225,26
04/06/2020,42,227,1,15,269,16,533,4914,11,361,5447,372,269,16
04/07/2020,34,230,1,20,264,21,567,5144,12,381,5711,393,264,21
04/08/2020,47,505,0,52,552,52,614,5649,12,433,6263,445,552,52
04/09/2020,33,335,0,26,368,26,647,5984,12,459,6631,471,368,26
04/10/2020,22,416,1,32,438,33,669,6400,13,491,7069,504,438,33
04/11/2020,35,402,5,34,437,39,704,6802,18,525,7506,543,437,39
04/12/2020,26,357,2,25,383,27,730,7159,20,550,7889,570,383,27
04/13/2020,27,266,3,23,293,26,757,7425,23,573,8182,596,293,26
04/14/2020,30,286,2,28,316,30,787,7711,25,601,8498,626,316,30
04/15/2020,27,394,1,37,421,38,814,8105,26,638,8919,664,421,38
04/16/2020,25,327,1,28,352,29,839,8432,27,666,9271,693,352,29
04/17/2020,34,388,0,28,422,28,873,8820,27,694,9693,721,422,28
04/18/2020,17,254,0,12,271,12,890,9074,27,706,9964,733,271,12
04/19/2020,33,283,2,23,316,25,923,9357,29,729,10280,758,316,25
04/20/2020,47,254,2,18,301,20,970,9611,31,747,10581,778,301,20
04/21/2020,106,360,9,22,466,31,1076,9971,40,769,11047,809,466,31
04/22/2020,60,344,7,23,404,30,1136,10315,47,792,11451,839,404,30
04/23/2020,162,809,72,47,971,119,1298,11124,119,839,12422,958,971,119
04/24/2020,132,578,3,20,710,23,1430,11702,122,859,13132,981,710,23
