"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
labid,instructions_and_lab_name,,text,"Laboratory ID:",,,,,,,,,,,,,
lab_hosp_nm,instructions_and_lab_name,"Thank you for taking the time to complete the Colorado Department of Public Health and Environment (CDPHE) Statewide Lab Survey. 

We understand that your lab staff are very busy and we aim to limit the number of times we seek information regarding lab testing. Unfortunately, deadlines associated with our funding do not always coincide in order to do that.  We know that some of you may have recently completed a survey asking about STI testing; this survey does NOT include any of those questions. 

If you could <u>please complete this entire survey by COB on April 29, 2022,</u>, we would greatly appreciate it. 


If clinical laboratories have questions regarding...
    - Antibiogram -  Chris Czaja 720-263-2390 christopher.czaja@state.co.us
    - Vaccine-Preventable Diseases - Emily Spence-Davizon  720-213-6256 emily.spencedavizon@state.co.us
    - Carbapenemase Testing - Jennifer Driscoll jennifer.driscoll@state.co.us, Karlie Hoetzer karlie.hoetzer@state.co.us
    - Candidemia - Devra Barter 303.692.2706 devra.barter@state.co.us 
    - Enteric Pathogens - Elisha Wilson  303.692.2776 elisha.wilson@state.co.us, cdphe_food_enteric_water_diseases@state.co.us 
    - C.difficile - Mary Casey 720.432.7155 mary.casey@state.co.us
    - Influenza and Respiratory Syncytial Virus (RSV): Emma Schmoll emma.schmoll@state.co.us, Molly Middleton molly.middleton@state.co.us, Elizabeth Austin elizabeth.austin@state.co.us, cdphe_flu_rsv@state.co.us
    - Mercury - Michelle Roche michelle.roche@state.co.us, Stacey Mulka stacey.mulka@state.co.us
    - COVID-19 - Eric Bush eric.bush@state.co.us, Eduardo Gabrieloff eduardo.gabrielfoff@state.co.us
 
",dropdown,"Please select your Lab/Hospital Name:","0, Animas Surgical Hospital | 1, Arkansas Valley Regional Medical Center | 2, Aspen Valley Hospital | 3, Avista Adventist Hospital | 4, Banner Fort Collins Medical Center | 5, Boulder Community Hospital | 6, Castle Rock Adventist Hospital | 7, Centennial State Lab | 8, Children's Hospital Colorado | 9, Colorado Canyons | 10, Colorado Mesa University Student Health | 11, Colorado Plains Medical Center | 12, Community Hospital | 13, Delta County Memorial Hospital | 14, Denver Health | 15, East Morgan County Hospital | 16, Estes Park Medical Center | 17, Evans Army Hospital | 18, Good Samaritan Medical Center | 19, Grand Junction Diagnostics and Mammography | 20, Grand River Medical Center | 21, Grandview Hospital | 22, Gunnison Valley Hospital | 23, Hartshorn at CSU | 24, Haxtun Hospital District | 25, Health One Center of Excellence at Rose | 26, Heart of the Rockies Regional Medical Center | 27, Kaiser Permanente Colorado | 28, Keefe Memorial Hospital | 29, Kindred Hospital Denver | 30, Kit Carson County Memorial Hospital | 31, LabCorp Denver | 32, Lincoln Community Hospital | 33, Littleton Adventist Hospital | 34, Longmont United Hospital | 35, Lutheran Medical Center | 36, McKee Medical Center (Banner Health) | 37, Medical Center of Aurora | 38, Melissa Memorial Hospital | 39, Memorial Hospital for Children | 40, Memorial Regional Health | 41, Mercy Medical Center | 42, Middle Park Medical Center - Granby | 43, Middle Park Medical Center - Kremmling | 44, Montrose Memorial Hospital | 45, Mt. San Rafael Hospital | 46, National Jewish | 47, North Colorado Medical Center | 48, North Suburban Medical Center | 49, Pagosa Springs Medical Center | 50, Parker Adventist Hospital | 51, Parkview Medical Center | 52, Penrose Hospital | 53, Peterson Air Force Base | 54, Pioneers Medical Center | 55, Platte Valley | 56, Porter Adventist Hospital | 57, Precision Clinical Laboratory | 58, Prowers Medical Center | 59, Presbyterian/St. Luke's Medical Center | 60, Quest Diagnostics, Denver, CO | 61, Rangely District Hospital | 62, Rio Grande Hospital | 63, San Luis Valley Health/ Conejos County Hospital | 64, San Luis Valley Regional Medical Center | 65, Schryver Medical | 66, Sedgwick County Memorial Hospital | 67, Sky Ridge Medical Center | 68, Southeast Colorado Hospital District | 69, Southwest Memorial Hospital | 70, Spanish Peaks Regional Health Center | 71, St. Francis Medical Center | 72, St. Joseph Hospital (SCL) | 73, St. Vincent General Hospital | 74, St. Anthony Hospital (Centura) | 75, St. Anthony North Health Campus | 76, St. Anthony Summit Medical Center | 77, St. Mary's Hospital | 78, St. Mary-Corwin Medical Center | 79, St. Thomas More Hospital | 80, Sterling Regional Medical Center | 81, Swedish Medical Center | 82, Telluride Medical Center | 83, The Memorial Hospital | 84, UCHealth Laboratory - Anschutz Medical Campus | 85, UCHealth Laboratory - Cherry Creek | 86, UCHealth Laboratory - Highlands Ranch | 87, UCHealth Laboratory - Firestone | 88, UCHealth Laboratory - Longs Peak Hospital | 89, UCHealth Laboratory - Longmont | 90, UCHealth Laboratory - Greeley Hospital | 91, UCHealth Laboratory - Peakview | 92, UCHealth Emergency Room - West Greeley (Freestanding) | 93, UCHealth Laboratory - Loveland | 94, UCHealth Laboratory - Medical Center of the Rockies | 95, UCHealth Laboratory - Windsor | 96, UCHealth Laboratory - Memorial Hospital North | 97, UCHealth Laboratory - Harmony Campus | 98, UCHealth Laboratory - Briargate | 99, UCHealth Laboratory - Pikes Peak Regional Hospital | 100, UCHealth Laboratory - Poudre Valley Hospital | 101, UCHealth Laboratory - Garfield | 102, UCHealth Laboratory - Cascade | 103, UCHealth Laboratory - Memorial Hospital Central | 104, UCHealth Laboratory - Printers Park | 105, UCHealth Laboratory - Yampa Valley Medical Center | 106, UCHealth Primary Care - Craig | 107, United States Air Force Academy | 108, University - Memorial Hospital | 109, University - Memorial Hospital NORTH | 110, University of Colorado Hospital | 111, VA Hospital | 112, Vail Valley Medical Center | 113, Valley View Hospital | 114, Veteran's Affairs - Mesa | 115, Wardenburg Health Services | 116, Weisbrod Memorial County Hospital | 117, Wray Community District Hospital | 118, Yuma District Hospital | 119, Other",,autocomplete,,,,,y,,,,,
lab_hosp_oth,instructions_and_lab_name,,text,"<span style=""margin-left: 10%;"">If other, please specify:",,,,,,,"[lab_hosp_nm] = '119'",,,,,,
county,instructions_and_lab_name,,dropdown,"Where is your laboratory located? (county)","1, Adams | 2, Alamosa | 3, Arapahoe | 4, Archuleta | 5, Baca | 6, Bent | 7, Boulder | 8, Broomfield | 9, Chaffee | 10, Cheyenne | 11, Clear Creek | 12, Conejos | 13, Costilla | 14, Crowley | 15, Custer | 16, Delta | 17, Denver | 18, Dolores | 19, Douglas | 20, Eagle | 21, El Paso | 22, Elbert | 23, Fremont | 24, Garfield | 25, Gilpin | 26, Grand | 27, Gunnison | 28, Hinsdale | 29, Huerfano | 30, Jackson | 31, Jefferson | 32, Kiowa | 33, Kit Carson | 34, La Plata | 35, Lake | 36, Larimer | 37, Las Animas | 38, Lincoln | 39, Logan | 40, Mesa | 41, Mineral | 42, Moffat | 43, Montezuma | 44, Montrose | 45, Morgan | 46, Otero | 47, Ouray | 48, Park | 49, Phillips | 50, Pitkin | 51, Prowers | 52, Pueblo | 53, Rio Blanco | 54, Rio Grande | 55, Routt | 56, Saguache | 57, San Juan | 58, San Miguel | 59, Sedgwick | 60, Summit | 61, Teller | 62, Washington | 63, Weld | 64, Yuma | 65, Other",,autocomplete,,,,,y,,,,,
county_oth,instructions_and_lab_name,,text,"<span style=""margin-left: 10%;"">If other, please specify:",,,,,,,"[county] = '65'",,,,,,
eip_county,instructions_and_lab_name,,yesno,"Does your laboratory provide testing services to residents/healthcare providers in Adams, Arapahoe, Boulder, Broomfield, Denver, Douglas, or Jefferson County?",,,,,,,"[county] = '2' or [county] = '4' or [county] = '5' or [county] = '6' or [county] = '9' or [county] = '10' or [county] = '11' or [county] = '12' or [county] = '13' or [county] = '14' or [county] = '15' or [county] = '16' or [county] = '18' or [county] = '20' or [county] = '21' or [county] = '22' or [county] = '23' or [county] = '24' or [county] = '25' or [county] = '26' or [county] = '27' or [county] = '28' or [county] = '29' or [county] = '30' or [county] = '32' or [county] = '33' or [county] = '34' or [county] = '35' or [county] = '35' or [county] = '34' or [county] = '36' or [county] = '37' or [county] = '38' or [county] = '39' or [county] = '40' or [county] = '41' or [county] = '42' or [county] = '43' or [county] = '44' or [county] = '45' or [county] = '46' or [county] = '47' or [county] = '48' or [county] = '48' or [county] = '49' or [county] = '50' or [county] = '51' or [county] = '50' or [county] = '51' or [county] = '52' or [county] = '53' or [county] = '54' or [county] = '53' or [county] = '55' or [county] = '56' or [county] = '57' or [county] = '58' or [county] = '59' or [county] = '60' or [county] = '61' or [county] = '62' or [county] = '63' or [county] = '64' or [county] = '65'",y,,,,,
surveyed_nm,instructions_and_lab_name,,text,"Name of Lab Staff Completing Survey:",,"first and last name",,,,,,,,,,,
instruct,a_clinical_lab_contact_information,,descriptive,"<font size=3; font color=""navy"">Please complete the following lab contact questions:",,,,,,,,,,,,,
labdirect,a_clinical_lab_contact_information,,descriptive,"Laboratory Director",,,,,,,,,,,,,
labdir_name,a_clinical_lab_contact_information,,text,"<span style=""margin-left: 10%;"">Name:",,,,,,,,,,,,,
