ReportedDate,NumProbable,NumConfirmed,NumProbDead,NumConfDead,TotalCases,TotalDead,CumConfirmed,CumProbable,CumConfDead,CumProbDead,TotalCumCases,TotalCumDead,DailyChangeCases,DailyChangeDead
03/01/2020,0,1,0,0,1,0,1,0,0,0,1,0,,
03/02/2020,0,0,0,0,0,0,1,0,0,0,1,0,0,0
03/03/2020,0,0,0,0,0,0,1,0,0,0,1,0,0,0
03/04/2020,0,0,0,0,0,0,1,0,0,0,1,0,0,0
03/05/2020,0,6,0,0,6,0,7,0,0,0,7,0,6,0
03/06/2020,1,0,0,0,1,0,7,1,0,0,8,0,1,0
03/07/2020,2,0,0,0,2,0,7,3,0,0,10,0,2,0
03/08/2020,1,0,0,0,1,0,7,4,0,0,11,0,1,0
03/09/2020,2,4,0,0,6,0,11,6,0,0,17,0,6,0
03/10/2020,0,6,0,0,6,0,17,6,0,0,23,0,6,0
03/11/2020,1,10,0,0,11,0,27,7,0,0,34,0,11,0
03/12/2020,2,8,0,0,10,0,35,9,0,0,44,0,10,0
03/13/2020,2,25,0,2,27,2,60,11,2,0,71,2,27,2
03/14/2020,4,28,0,1,32,1,88,15,3,0,103,3,32,1
03/15/2020,1,34,0,1,35,1,122,16,4,0,138,4,35,1
03/16/2020,1,33,0,0,34,0,155,17,4,0,172,4,34,0
03/17/2020,4,26,0,0,30,0,181,21,4,0,202,4,30,0
03/18/2020,13,56,0,5,69,5,237,34,9,0,271,9,69,5
03/19/2020,12,71,0,2,83,2,308,46,11,0,354,11,83,2
03/20/2020,16,107,1,2,123,3,415,62,13,1,477,14,123,3
03/21/2020,10,109,0,12,119,12,524,72,25,1,596,26,119,12
03/22/2020,12,113,0,8,125,8,637,84,33,1,721,34,125,8
03/23/2020,26,171,0,15,197,15,808,110,48,1,918,49,197,15
03/24/2020,16,161,1,15,177,16,969,126,63,2,1095,65,177,16
03/25/2020,24,289,0,19,313,19,1258,150,82,2,1408,84,313,19
03/26/2020,22,274,1,26,296,27,1532,172,108,3,1704,111,296,27
03/27/2020,38,292,1,36,330,37,1824,210,144,4,2034,148,330,37
03/28/2020,15,228,0,23,243,23,2052,225,167,4,2277,171,243,23
03/29/2020,25,309,0,23,334,23,2361,250,190,4,2611,194,334,23
03/30/2020,35,296,1,35,331,36,2657,285,225,5,2942,230,331,36
03/31/2020,27,357,2,41,384,43,3014,312,266,7,3326,273,384,43
04/01/2020,38,365,3,40,403,43,3379,350,306,10,3729,316,403,43
04/02/2020,42,408,1,47,450,48,3787,392,353,11,4179,364,450,48
04/03/2020,35,355,0,36,390,36,4142,427,389,11,4569,400,390,36
04/04/2020,36,352,1,38,388,39,4494,463,427,12,4957,439,388,39
04/05/2020,23,201,1,31,224,32,4695,486,458,13,5181,471,224,32
04/06/2020,38,232,1,27,270,28,4927,524,485,14,5451,499,270,28
04/07/2020,33,230,2,26,263,28,5157,557,511,16,5714,527,263,28
04/08/2020,46,506,0,71,552,71,5663,603,582,16,6266,598,552,71
04/09/2020,32,337,1,38,369,39,6000,635,620,17,6635,637,369,39
04/10/2020,23,415,1,48,438,49,6415,658,668,18,7073,686,438,49
04/11/2020,32,405,9,43,437,52,6820,690,711,27,7510,738,437,52
04/12/2020,26,358,5,40,384,45,7178,716,751,32,7894,783,384,45
04/13/2020,26,266,3,36,292,39,7444,742,787,35,8186,822,292,39
04/14/2020,30,286,4,37,316,41,7730,772,824,39,8502,863,316,41
04/15/2020,27,394,1,69,421,70,8124,799,893,40,8923,933,421,70
04/16/2020,24,328,1,40,352,41,8452,823,933,41,9275,974,352,41
04/17/2020,34,388,0,51,422,51,8840,857,984,41,9697,1025,422,51
04/18/2020,17,254,0,28,271,28,9094,874,1012,41,9968,1053,271,28
04/19/2020,32,284,7,45,316,52,9378,906,1057,48,10284,1105,316,52
04/20/2020,45,256,6,33,301,39,9634,951,1090,54,10585,1144,301,39
04/21/2020,103,361,22,43,464,65,9995,1054,1133,76,11049,1209,464,65
04/22/2020,59,345,9,45,404,54,10340,1113,1178,85,11453,1263,404,54
04/23/2020,160,810,82,72,970,154,11150,1273,1250,167,12423,1417,970,154
04/24/2020,128,584,9,31,712,40,11734,1401,1281,176,13135,1457,712,40
04/25/2020,48,445,1,38,493,39,12179,1449,1319,177,13628,1496,493,39
04/26/2020,46,392,7,39,438,46,12571,1495,1358,184,14066,1542,438,46
04/27/2020,70,431,13,31,501,44,13002,1565,1389,197,14567,1586,501,44
04/28/2020,44,393,9,29,437,38,13395,1609,1418,206,15004,1624,437,38
04/29/2020,40,816,12,37,856,49,14211,1649,1455,218,15860,1673,856,49
04/30/2020,47,418,1,36,465,37,14629,1696,1491,219,16325,1710,465,37
05/01/2020,32,440,3,36,472,39,15069,1728,1527,222,16797,1749,472,39
05/02/2020,17,399,5,29,416,34,15468,1745,1556,227,17213,1783,416,34
05/03/2020,28,222,2,9,250,11,15690,1773,1565,229,17463,1794,250,11
05/04/2020,33,342,5,38,375,43,16032,1806,1603,234,17838,1837,375,43
05/05/2020,59,341,4,23,400,27,16373,1865,1626,238,18238,1864,400,27
05/06/2020,25,431,6,18,456,24,16804,1890,1644,244,18694,1888,456,24
05/07/2020,30,435,3,28,465,31,17239,1920,1672,247,19159,1919,465,31
05/08/2020,13,545,2,42,558,44,17784,1933,1714,249,19717,1963,558,44
05/09/2020,13,348,1,21,361,22,18132,1946,1735,250,20078,1985,361,22
05/10/2020,10,215,1,14,225,15,18347,1956,1749,251,20303,2000,225,15
05/11/2020,33,219,8,12,252,20,18566,1989,1761,259,20555,2020,252,20
05/12/2020,53,249,30,16,302,46,18815,2042,1777,289,20857,2066,302,46
05/13/2020,21,429,3,31,450,34,19244,2063,1808,292,21307,2100,450,34
05/14/2020,52,376,21,15,428,36,19620,2115,1823,313,21735,2136,428,36
05/15/2020,38,401,19,14,439,33,20021,2153,1837,332,22174,2169,439,33
05/16/2020,35,305,18,19,340,37,20326,2188,1856,350,22514,2206,340,37
05/17/2020,12,215,0,18,227,18,20541,2200,1874,350,22741,2224,227,18
05/18/2020,19,260,5,16,279,21,20801,2219,1890,355,23020,2245,279,21
05/19/2020,22,269,14,23,291,37,21070,2241,1913,369,23311,2282,291,37
05/20/2020,27,354,0,30,381,30,21424,2268,1943,369,23692,2312,381,30
05/21/2020,36,276,1,25,312,26,21700,2304,1968,370,24004,2338,312,26
05/22/2020,27,444,2,22,471,24,22144,2331,1990,372,24475,2362,471,24
05/23/2020,14,216,1,13,230,14,22360,2345,2003,373,24705,2376,230,14
05/24/2020,11,261,0,19,272,19,22621,2356,2022,373,24977,2395,272,19
05/25/2020,12,301,0,19,313,19,22922,2368,2041,373,25290,2414,313,19
05/26/2020,37,170,18,10,207,28,23092,2405,2051,391,25497,2442,207,28
05/27/2020,35,253,6,10,288,16,23345,2440,2061,397,25785,2458,288,16
05/28/2020,30,319,2,17,349,19,23664,2470,2078,399,26134,2477,349,19
05/29/2020,16,479,1,13,495,14,24143,2486,2091,400,26629,2491,495,14
05/30/2020,8,302,0,13,310,13,24445,2494,2104,400,26939,2504,310,13
05/31/2020,11,143,0,4,154,4,24588,2505,2108,400,27093,2508,154,4
06/01/2020,19,201,4,13,220,17,24789,2524,2121,404,27313,2525,220,17
06/02/2020,16,233,2,9,249,11,25022,2540,2130,406,27562,2536,249,11
06/03/2020,15,293,5,7,308,12,25315,2555,2137,411,27870,2548,308,12
06/04/2020,16,267,4,15,283,19,25582,2571,2152,415,28153,2567,283,19
06/05/2020,13,229,0,6,242,6,25811,2584,2158,415,28395,2573,242,6
