ReportedDate,countyassigned,NumProbable,NumConfirmed,NumProbDead,NumConfDead,TotalCases,TotalDead,CumConfirmed,CumProbable,CumConfDead,CumProbDead,TotalCumCases,TotalCumDead,DailyChangeCases,DailyChangeDead
03/01/2020,ADAMS,0,1,0,0,1,0,1,0,0,0,1,0,,
03/02/2020,,0,0,0,0,0,0,1,0,0,0,1,0,0,0
03/03/2020,,0,0,0,0,0,0,1,0,0,0,1,0,0,0
03/04/2020,,0,0,0,0,0,0,1,0,0,0,1,0,0,0
03/05/2020,UNALLOCATED,0,7,0,0,7,0,8,0,0,0,8,0,7,0
03/06/2020,ADAMS,1,0,0,0,1,0,8,1,0,0,9,0,1,0
03/07/2020,ARAPAHOE,2,0,0,0,2,0,8,3,0,0,11,0,2,0
03/08/2020,ARAPAHOE,1,0,0,0,1,0,8,4,0,0,12,0,1,0
03/09/2020,LARIMER,2,4,0,0,6,0,12,6,0,0,18,0,6,0
03/10/2020,JEFFERSON,0,6,0,0,6,0,18,6,0,0,24,0,6,0
03/11/2020,JEFFERSON,1,17,0,0,18,0,35,7,0,0,42,0,18,0
03/12/2020,JEFFERSON,2,9,0,0,11,0,44,9,0,0,53,0,11,0
03/13/2020,WELD,2,25,0,2,27,2,69,11,2,0,80,2,27,2
03/14/2020,WELD,4,28,0,1,32,1,97,15,3,0,112,3,32,1
03/15/2020,WELD,1,34,0,1,35,1,131,16,4,0,147,4,35,1
03/16/2020,JEFFERSON,1,33,0,0,34,0,164,17,4,0,181,4,34,0
03/17/2020,WELD,4,26,0,0,30,0,190,21,4,0,211,4,30,0
03/18/2020,YUMA,13,56,0,5,69,5,246,34,9,0,280,9,69,5
03/19/2020,WELD,12,71,0,2,83,2,317,46,11,0,363,11,83,2
03/20/2020,WELD,16,107,1,2,123,3,424,62,13,1,486,14,123,3
03/21/2020,WELD,10,109,0,12,119,12,533,72,25,1,605,26,119,12
03/22/2020,WELD,12,113,0,8,125,8,646,84,33,1,730,34,125,8
03/23/2020,WELD,26,171,0,15,197,15,817,110,48,1,927,49,197,15
03/24/2020,WELD,16,161,1,15,177,16,978,126,63,2,1104,65,177,16
03/25/2020,YUMA,24,289,0,19,313,19,1267,150,82,2,1417,84,313,19
03/26/2020,WELD,22,274,1,26,296,27,1541,172,108,3,1713,111,296,27
03/27/2020,WELD,38,292,1,36,330,37,1833,210,144,4,2043,148,330,37
03/28/2020,WELD,15,228,0,23,243,23,2061,225,167,4,2286,171,243,23
03/29/2020,WELD,25,310,0,23,335,23,2371,250,190,4,2621,194,335,23
03/30/2020,WELD,35,297,1,35,332,36,2668,285,225,5,2953,230,332,36
03/31/2020,WELD,27,357,2,41,384,43,3025,312,266,7,3337,273,384,43
04/01/2020,WELD,38,366,3,40,404,43,3391,350,306,10,3741,316,404,43
04/02/2020,WELD,42,408,1,47,450,48,3799,392,353,11,4191,364,450,48
04/03/2020,WELD,35,355,0,36,390,36,4154,427,389,11,4581,400,390,36
04/04/2020,WELD,36,352,1,38,388,39,4506,463,427,12,4969,439,388,39
04/05/2020,WELD,23,201,1,31,224,32,4707,486,458,13,5193,471,224,32
04/06/2020,WELD,38,232,1,27,270,28,4939,524,485,14,5463,499,270,28
04/07/2020,WELD,33,230,2,26,263,28,5169,557,511,16,5726,527,263,28
