ReportedDate,NumProbable,NumConfirmed,NumProbDead,NumConfDead,TotalCases,TotalDead,CumConfirmed,CumProbable,CumConfDead,CumProbDead,TotalCumCases,TotalCumDead,DailyChangeCases,DailyChangeDead
03/01/2020,0,1,0,0,1,0,1,0,0,0,1,0,,
03/02/2020,0,0,0,0,0,0,1,0,0,0,1,0,0,0
03/03/2020,0,0,0,0,0,0,1,0,0,0,1,0,0,0
03/04/2020,0,0,0,0,0,0,1,0,0,0,1,0,0,0
03/05/2020,0,7,0,0,7,0,8,0,0,0,8,0,7,0
03/06/2020,1,0,0,0,1,0,8,1,0,0,9,0,1,0
03/07/2020,2,0,0,0,2,0,8,3,0,0,11,0,2,0
03/08/2020,1,0,0,0,1,0,8,4,0,0,12,0,1,0
03/09/2020,2,4,0,0,6,0,12,6,0,0,18,0,6,0
03/10/2020,0,6,0,0,6,0,18,6,0,0,24,0,6,0
03/11/2020,1,17,0,0,18,0,35,7,0,0,42,0,18,0
03/12/2020,2,9,0,0,11,0,44,9,0,0,53,0,11,0
03/13/2020,2,25,0,2,27,2,69,11,2,0,80,2,27,2
03/14/2020,4,28,0,1,32,1,97,15,3,0,112,3,32,1
03/15/2020,1,34,0,1,35,1,131,16,4,0,147,4,35,1
03/16/2020,1,33,0,0,34,0,164,17,4,0,181,4,34,0
03/17/2020,4,26,0,0,30,0,190,21,4,0,211,4,30,0
03/18/2020,13,56,0,4,69,4,246,34,8,0,280,8,69,4
03/19/2020,12,71,0,2,83,2,317,46,10,0,363,10,83,2
03/20/2020,16,107,0,2,123,2,424,62,12,0,486,12,123,2
03/21/2020,10,109,0,10,119,10,533,72,22,0,605,22,119,10
03/22/2020,12,113,0,6,125,6,646,84,28,0,730,28,125,6
03/23/2020,26,171,0,10,197,10,817,110,38,0,927,38,197,10
03/24/2020,16,161,1,9,177,10,978,126,47,1,1104,48,177,10
03/25/2020,24,289,0,16,313,16,1267,150,63,1,1417,64,313,16
03/26/2020,22,274,1,21,296,22,1541,172,84,2,1713,86,296,22
03/27/2020,38,292,1,26,330,27,1833,210,110,3,2043,113,330,27
03/28/2020,15,228,0,21,243,21,2061,225,131,3,2286,134,243,21
03/29/2020,25,310,0,18,335,18,2371,250,149,3,2621,152,335,18
03/30/2020,35,297,1,27,332,28,2668,285,176,4,2953,180,332,28
03/31/2020,27,357,2,26,384,28,3025,312,202,6,3337,208,384,28
04/01/2020,38,366,1,31,404,32,3391,350,233,7,3741,240,404,32
04/02/2020,42,408,1,34,450,35,3799,392,267,8,4191,275,450,35
04/03/2020,35,355,0,28,390,28,4154,427,295,8,4581,303,390,28
04/04/2020,36,352,1,28,388,29,4506,463,323,9,4969,332,388,29
04/05/2020,23,201,1,24,224,25,4707,486,347,10,5193,357,224,25
04/06/2020,38,232,1,16,270,17,4939,524,363,11,5463,374,270,17
04/07/2020,33,230,1,20,263,21,5169,557,383,12,5726,395,263,21
04/08/2020,46,506,0,52,552,52,5675,603,435,12,6278,447,552,52
04/09/2020,32,337,0,27,369,27,6012,635,462,12,6647,474,369,27
04/10/2020,23,415,1,32,438,33,6427,658,494,13,7085,507,438,33
04/11/2020,32,405,5,34,437,39,6832,690,528,18,7522,546,437,39
04/12/2020,26,358,2,25,384,27,7190,716,553,20,7906,573,384,27
04/13/2020,26,266,2,23,292,25,7456,742,576,22,8198,598,292,25
04/14/2020,30,286,2,28,316,30,7742,772,604,24,8514,628,316,30
04/15/2020,27,394,1,37,421,38,8136,799,641,25,8935,666,421,38
04/16/2020,24,328,1,28,352,29,8464,823,669,26,9287,695,352,29
04/17/2020,34,388,0,28,422,28,8852,857,697,26,9709,723,422,28
04/18/2020,17,254,0,12,271,12,9106,874,709,26,9980,735,271,12
04/19/2020,32,284,3,23,316,26,9390,906,732,29,10296,761,316,26
04/20/2020,45,256,2,18,301,20,9646,951,750,31,10597,781,301,20
04/21/2020,103,361,8,22,464,30,10007,1054,772,39,11061,811,464,30
04/22/2020,59,345,7,24,404,31,10352,1113,796,46,11465,842,404,31
04/23/2020,160,810,72,47,970,119,11162,1273,843,118,12435,961,970,119
04/24/2020,128,584,4,20,712,24,11746,1401,863,122,13147,985,712,24
04/25/2020,48,445,0,19,493,19,12191,1449,882,122,13640,1004,493,19
04/26/2020,46,392,4,12,438,16,12583,1495,894,126,14078,1020,438,16
04/27/2020,70,431,7,13,501,20,13014,1565,907,133,14579,1040,501,20
04/28/2020,44,393,5,14,437,19,13407,1609,921,138,15016,1059,437,19
04/29/2020,40,816,8,20,856,28,14223,1649,941,146,15872,1087,856,28
04/30/2020,47,418,1,17,465,18,14641,1696,958,147,16337,1105,465,18
05/01/2020,32,440,2,19,472,21,15081,1728,977,149,16809,1126,472,21
05/02/2020,17,399,5,10,416,15,15480,1745,987,154,17225,1141,416,15
05/03/2020,28,223,1,5,251,6,15703,1773,992,155,17476,1147,251,6
05/04/2020,33,342,1,19,375,20,16045,1806,1011,156,17851,1167,375,20
05/05/2020,58,342,1,12,400,13,16387,1864,1023,157,18251,1180,400,13
05/06/2020,25,431,3,14,456,17,16818,1889,1037,160,18707,1197,456,17
05/07/2020,30,435,1,19,465,20,17253,1919,1056,161,19172,1217,465,20
05/08/2020,13,545,0,12,558,12,17798,1932,1068,161,19730,1229,558,12
05/09/2020,13,348,1,8,361,9,18146,1945,1076,162,20091,1238,361,9
05/10/2020,10,215,1,8,225,9,18361,1955,1084,163,20316,1247,225,9
05/11/2020,33,219,6,9,252,15,18580,1988,1093,169,20568,1262,252,15
05/12/2020,53,249,27,9,302,36,18829,2041,1102,196,20870,1298,302,36
05/13/2020,21,429,3,13,450,16,19258,2062,1115,199,21320,1314,450,16
05/14/2020,52,376,20,8,428,28,19634,2114,1123,219,21748,1342,428,28
05/15/2020,38,401,19,8,439,27,20035,2152,1131,238,22187,1369,439,27
05/16/2020,35,305,18,8,340,26,20340,2187,1139,256,22527,1395,340,26
05/17/2020,12,215,0,11,227,11,20555,2199,1150,256,22754,1406,227,11
05/18/2020,19,260,5,8,279,13,20815,2218,1158,261,23033,1419,279,13
05/19/2020,22,269,12,13,291,25,21084,2240,1171,273,23324,1444,291,25
05/20/2020,27,354,0,17,381,17,21438,2267,1188,273,23705,1461,381,17
05/21/2020,36,277,1,12,313,13,21715,2303,1200,274,24018,1474,313,13
05/22/2020,27,444,0,8,471,8,22159,2330,1208,274,24489,1482,471,8
05/23/2020,14,217,1,5,231,6,22376,2344,1213,275,24720,1488,231,6
05/24/2020,11,261,0,9,272,9,22637,2355,1222,275,24992,1497,272,9
05/25/2020,12,301,0,10,313,10,22938,2367,1232,275,25305,1507,313,10
05/26/2020,37,170,18,6,207,24,23108,2404,1238,293,25512,1531,207,24
05/27/2020,35,253,6,7,288,13,23361,2439,1245,299,25800,1544,288,13
05/28/2020,30,319,2,9,349,11,23680,2469,1254,301,26149,1555,349,11
05/29/2020,16,480,1,5,496,6,24160,2485,1259,302,26645,1561,496,6
05/30/2020,8,303,0,7,311,7,24463,2493,1266,302,26956,1568,311,7
05/31/2020,11,143,0,1,154,1,24606,2504,1267,302,27110,1569,154,1
06/01/2020,19,201,4,10,220,14,24807,2523,1277,306,27330,1583,220,14
06/02/2020,16,233,2,3,249,5,25040,2539,1280,308,27579,1588,249,5
06/03/2020,15,293,5,3,308,8,25333,2554,1283,313,27887,1596,308,8
06/04/2020,16,267,4,5,283,9,25600,2570,1288,317,28170,1605,283,9
06/05/2020,13,229,0,4,242,4,25829,2583,1292,317,28412,1609,242,4
06/06/2020,14,154,0,6,168,6,25983,2597,1298,317,28580,1615,168,6
