Date,Cases
1/23/2020,0
1/24/2020,1
1/25/2020,0
1/26/2020,3
1/27/2020,0
1/28/2020,0
1/29/2020,1
1/30/2020,0
1/31/2020,2
2/1/2020,0
2/2/2020,0
2/3/2020,3
2/4/2020,0
2/5/2020,0
2/6/2020,1
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,1
2/12/2020,0
2/13/2020,1
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,2
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,1
2/28/2020,0
2/29/2020,8
3/1/2020,7
3/2/2020,23
3/3/2020,19
3/4/2020,33
3/5/2020,77
3/6/2020,53
3/7/2020,166
3/8/2020,116
3/9/2020,75
3/10/2020,188
3/11/2020,365
3/12/2020,439
3/13/2020,633
3/14/2020,759
3/15/2020,234
3/16/2020,1467
3/17/2020,1833
3/18/2020,2657
3/19/2020,4494
3/20/2020,6367
3/21/2020,5995
3/22/2020,8918
3/23/2020,11152
3/24/2020,10618
3/25/2020,12127
3/26/2020,17820
3/27/2020,18592
3/28/2020,22160
3/29/2020,16134
3/30/2020,22153
3/31/2020,26380
4/1/2020,32202
4/2/2020,32346
4/3/2020,32365
4/4/2020,32387
4/5/2020,29334
4/6/2020,31933
4/7/2020,30576
4/8/2020,31118
4/9/2020,36073
4/10/2020,34276
4/11/2020,29189
4/12/2020,26934
4/13/2020,26992
4/14/2020,28413
4/15/2020,25962
4/16/2020,30263
4/17/2020,33004
4/18/2020,27933
4/19/2020,25871
4/20/2020,29789
4/21/2020,26218
4/22/2020,29071
4/23/2020,33253
4/24/2020,32339
4/25/2020,30378
4/26/2020,26573
4/27/2020,23795
4/28/2020,24688
4/29/2020,26431
4/30/2020,29157
5/1/2020,34902
5/2/2020,27404
5/3/2020,24329
5/4/2020,24238
5/5/2020,24448
5/6/2020,24380
5/7/2020,27620
5/8/2020,27133
5/9/2020,24700
5/10/2020,19013
5/11/2020,19139
5/12/2020,22886
5/13/2020,20517
5/14/2020,26736
5/15/2020,24697
5/16/2020,24284
5/17/2020,18640
5/18/2020,22213
5/19/2020,20919
5/20/2020,22795
5/21/2020,25787
5/22/2020,23658
5/23/2020,21119
5/24/2020,20306
5/25/2020,18488
5/26/2020,18984
5/27/2020,19476
5/28/2020,21723
5/29/2020,24648
5/30/2020,24213
5/31/2020,19336
6/1/2020,17004
6/2/2020,21269
6/3/2020,19780
6/4/2020,21735
6/5/2020,24911
6/6/2020,21474
6/7/2020,18268
6/8/2020,16699
6/9/2020,18008
6/10/2020,21196
6/11/2020,22401
6/12/2020,25149
6/13/2020,25125
6/14/2020,19332
6/15/2020,18583
6/16/2020,23901
6/17/2020,27215
6/18/2020,28401
6/19/2020,31685
6/20/2020,32534
6/21/2020,26067
6/22/2020,31159
6/23/2020,37265
6/24/2020,36212
6/25/2020,40260
6/26/2020,46319
6/27/2020,41698
6/28/2020,41796
6/29/2020,39701
6/30/2020,48369
7/1/2020,51565
7/2/2020,56368
7/3/2020,52617
7/4/2020,48359
7/5/2020,50802
7/6/2020,42735
7/7/2020,59127
7/8/2020,59643
7/9/2020,60953
7/10/2020,67801
7/11/2020,61259
7/12/2020,60028
7/13/2020,57864
7/14/2020,66890
7/15/2020,67936
7/16/2020,76052
7/17/2020,71543
7/18/2020,64350
7/19/2020,61246
7/20/2020,60492
7/21/2020,65546
7/22/2020,70374
7/23/2020,68749
7/24/2020,73638
7/25/2020,66155
7/26/2020,56327
7/27/2020,56844
7/28/2020,63140
7/29/2020,68967
7/30/2020,67940
7/31/2020,68428
8/1/2020,58396
8/2/2020,46457
8/3/2020,45183
8/4/2020,55270
8/5/2020,55524
8/6/2020,57540
8/7/2020,60421
8/8/2020,55106
8/9/2020,48147
8/10/2020,45890
8/11/2020,52371
8/12/2020,52731
8/13/2020,51429
8/14/2020,65296
8/15/2020,49346
8/16/2020,39910
8/17/2020,35803
